"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51563","test_complete_task","tests","2026-06-18","broken","2026-06-18","","test_tasksTest","",""
"","64490","test_sell_or_rent_property","tests","2026-06-18","passed","2026-06-18","","test_leadsTest","",""
"","39958","test_add_lead","tests","2026-06-18","passed","2026-06-18","","test_leadsTest","",""
"","32136","test_add_lead_and_add_activities","tests","2026-06-18","passed","2026-06-18","","test_leadsTest","",""
"","12805","test_addContact","tests","2026-06-18","passed","2026-06-18","","test_contactTest","",""
"","23367","test_addProperty","tests","2026-06-18","passed","2026-06-18","","test_propertiesTest","",""
"","5137","test_positive_login_test","tests","2026-06-18","passed","2026-06-18","","test_loginTest","",""
